2025-12-18 01:17:05,638 - --------------------------------------------- BEGIN: 2025-12-18 01:17:05 ---------------------------------------------
2025-12-18 01:17:05,638 - 
==========================================
 Arguments          | Values              
==========================================
 batch_size         | 256                
 data_appendix      |                    
 dataset            | MIND_Large/MINDTOPK
 dropout            | 0                  
 early_stop         | 10                 
 emb_size           | 64                 
 epoch              | 200                
 eval_batch_size    | 256                
 gpu                | 0                  
 l2                 | 1e-08              
 lr                 | 0.001              
 main_metric        |                    
 n_layers           | 3                  
 num_neg            | 1                  
 num_workers        | 5                  
 optimizer          | Adam               
 random_seed        | 2025               
 save_final_results | 1                  
 test_all           | 0                  
 topk               | 5,10,20,50         
==========================================
2025-12-18 01:17:05,641 - Device: cuda
2025-12-18 01:17:05,642 - Load corpus from /home/neuro/MGDCF_in_ReChorus-master/data/MIND_Large/MINDTOPK/BaseReader.pkl
2025-12-18 01:17:08,754 - #params: 1238080
2025-12-18 01:17:08,754 - LightGCN(
  (encoder): LGCNEncoder(
    (embedding_dict): ParameterDict(
        (item_emb): Parameter containing: [torch.cuda.FloatTensor of size 2818x64 (cuda:0)]
        (user_emb): Parameter containing: [torch.cuda.FloatTensor of size 16527x64 (cuda:0)]
    )
  )
)
2025-12-18 13:15:29,470 - --------------------------------------------- BEGIN: 2025-12-18 13:15:29 ---------------------------------------------
2025-12-18 13:15:29,470 - 
==========================================
 Arguments          | Values              
==========================================
 batch_size         | 256                
 data_appendix      |                    
 dataset            | MIND_Large/MINDTOPK
 dropout            | 0                  
 early_stop         | 10                 
 emb_size           | 64                 
 epoch              | 200                
 eval_batch_size    | 256                
 gpu                | 0                  
 l2                 | 1e-08              
 lr                 | 0.001              
 main_metric        |                    
 n_layers           | 3                  
 num_neg            | 1                  
 num_workers        | 5                  
 optimizer          | Adam               
 random_seed        | 2025               
 save_final_results | 1                  
 test_all           | 0                  
 topk               | 5,10,20,50         
==========================================
2025-12-18 13:15:29,473 - Device: cuda
2025-12-18 13:15:29,473 - Load corpus from /home/neuro/MGDCF_in_ReChorus-master/data/MIND_Large/MINDTOPK/BaseReader.pkl
2025-12-18 13:15:32,435 - #params: 1238080
2025-12-18 13:15:32,435 - LightGCN(
  (encoder): LGCNEncoder(
    (embedding_dict): ParameterDict(
        (item_emb): Parameter containing: [torch.cuda.FloatTensor of size 2818x64 (cuda:0)]
        (user_emb): Parameter containing: [torch.cuda.FloatTensor of size 16527x64 (cuda:0)]
    )
  )
)
2025-12-18 13:15:32,773 - Test Before Training: (HR@5:0.0500,NDCG@5:0.0285,HR@10:0.1049,NDCG@10:0.0458,HR@20:0.2294,NDCG@20:0.0769,HR@50:0.5225,NDCG@50:0.1337)
2025-12-18 13:15:32,845 - Optimizer: Adam
2025-12-18 13:19:29,436 - Epoch 19    loss=0.2198 [12.2 s]	dev=(HR@5:0.0589,NDCG@5:0.0337) [0.2 s] *
2025-12-18 13:19:41,801 - Epoch 20    loss=0.2122 [12.1 s]	dev=(HR@5:0.0571,NDCG@5:0.0336) [0.3 s]
2025-12-18 13:19:54,185 - Epoch 21    loss=0.2043 [12.1 s]	dev=(HR@5:0.0571,NDCG@5:0.0337) [0.2 s]
2025-12-18 13:20:06,576 - Epoch 22    loss=0.1983 [12.1 s]	dev=(HR@5:0.0561,NDCG@5:0.0331) [0.3 s]
2025-12-18 13:20:18,986 - Epoch 23    loss=0.1883 [12.2 s]	dev=(HR@5:0.0549,NDCG@5:0.0323) [0.2 s]
2025-12-18 13:20:31,421 - Epoch 24    loss=0.1827 [12.2 s]	dev=(HR@5:0.0571,NDCG@5:0.0335) [0.2 s]
2025-12-18 13:20:43,919 - Epoch 25    loss=0.1739 [12.2 s]	dev=(HR@5:0.0580,NDCG@5:0.0340) [0.3 s] *
2025-12-18 13:20:56,303 - Epoch 26    loss=0.1679 [12.1 s]	dev=(HR@5:0.0586,NDCG@5:0.0340) [0.2 s] *
2025-12-18 13:21:08,740 - Epoch 27    loss=0.1614 [12.2 s]	dev=(HR@5:0.0574,NDCG@5:0.0336) [0.3 s]
2025-12-18 13:21:21,159 - Epoch 28    loss=0.1554 [12.1 s]	dev=(HR@5:0.0583,NDCG@5:0.0345) [0.2 s] *
2025-12-18 13:21:33,587 - Epoch 29    loss=0.1489 [12.2 s]	dev=(HR@5:0.0564,NDCG@5:0.0341) [0.2 s]
2025-12-18 13:21:46,027 - Epoch 30    loss=0.1452 [12.2 s]	dev=(HR@5:0.0564,NDCG@5:0.0343) [0.2 s]
2025-12-18 13:21:58,470 - Epoch 31    loss=0.1383 [12.2 s]	dev=(HR@5:0.0571,NDCG@5:0.0347) [0.2 s] *
2025-12-18 13:22:10,856 - Epoch 32    loss=0.1333 [12.1 s]	dev=(HR@5:0.0577,NDCG@5:0.0347) [0.2 s] *
2025-12-18 13:22:23,306 - Epoch 33    loss=0.1288 [12.2 s]	dev=(HR@5:0.0567,NDCG@5:0.0342) [0.3 s]
2025-12-18 13:22:35,771 - Epoch 34    loss=0.1230 [12.2 s]	dev=(HR@5:0.0586,NDCG@5:0.0351) [0.2 s] *
2025-12-18 13:22:48,265 - Epoch 35    loss=0.1206 [12.2 s]	dev=(HR@5:0.0592,NDCG@5:0.0358) [0.3 s] *
2025-12-18 13:23:00,713 - Epoch 36    loss=0.1148 [12.2 s]	dev=(HR@5:0.0604,NDCG@5:0.0362) [0.2 s] *
2025-12-18 13:23:13,141 - Epoch 37    loss=0.1097 [12.2 s]	dev=(HR@5:0.0577,NDCG@5:0.0351) [0.2 s]
2025-12-18 13:23:25,548 - Epoch 38    loss=0.1070 [12.2 s]	dev=(HR@5:0.0598,NDCG@5:0.0362) [0.2 s]
2025-12-18 13:23:37,930 - Epoch 39    loss=0.1015 [12.1 s]	dev=(HR@5:0.0592,NDCG@5:0.0360) [0.2 s]
2025-12-18 13:23:50,331 - Epoch 40    loss=0.0985 [12.1 s]	dev=(HR@5:0.0580,NDCG@5:0.0355) [0.3 s]
2025-12-18 13:24:02,797 - Epoch 41    loss=0.0946 [12.2 s]	dev=(HR@5:0.0613,NDCG@5:0.0366) [0.2 s] *
2025-12-18 13:24:15,233 - Epoch 42    loss=0.0915 [12.2 s]	dev=(HR@5:0.0598,NDCG@5:0.0357) [0.2 s]
2025-12-18 13:24:27,661 - Epoch 43    loss=0.0881 [12.2 s]	dev=(HR@5:0.0601,NDCG@5:0.0358) [0.2 s]
2025-12-18 13:24:40,082 - Epoch 44    loss=0.0850 [12.2 s]	dev=(HR@5:0.0610,NDCG@5:0.0365) [0.3 s]
2025-12-18 13:24:52,502 - Epoch 45    loss=0.0825 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0364) [0.3 s]
2025-12-18 13:25:04,971 - Epoch 46    loss=0.0794 [12.2 s]	dev=(HR@5:0.0620,NDCG@5:0.0366) [0.2 s]
2025-12-18 13:25:17,428 - Epoch 47    loss=0.0761 [12.2 s]	dev=(HR@5:0.0629,NDCG@5:0.0369) [0.2 s] *
2025-12-18 13:25:29,936 - Epoch 48    loss=0.0736 [12.3 s]	dev=(HR@5:0.0613,NDCG@5:0.0364) [0.2 s]
2025-12-18 13:25:42,411 - Epoch 49    loss=0.0714 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0372) [0.3 s] *
2025-12-18 13:25:54,922 - Epoch 50    loss=0.0693 [12.2 s]	dev=(HR@5:0.0629,NDCG@5:0.0378) [0.3 s] *
2025-12-18 13:26:07,358 - Epoch 51    loss=0.0660 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0370) [0.2 s]
2025-12-18 13:26:19,749 - Epoch 52    loss=0.0655 [12.2 s]	dev=(HR@5:0.0610,NDCG@5:0.0370) [0.2 s]
2025-12-18 13:26:32,148 - Epoch 53    loss=0.0613 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0371) [0.2 s]
2025-12-18 13:26:44,583 - Epoch 54    loss=0.0604 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0373) [0.2 s]
2025-12-18 13:26:56,993 - Epoch 55    loss=0.0578 [12.2 s]	dev=(HR@5:0.0604,NDCG@5:0.0367) [0.2 s]
2025-12-18 13:27:09,433 - Epoch 56    loss=0.0566 [12.2 s]	dev=(HR@5:0.0613,NDCG@5:0.0371) [0.3 s]
2025-12-18 13:27:21,890 - Epoch 57    loss=0.0550 [12.2 s]	dev=(HR@5:0.0617,NDCG@5:0.0376) [0.2 s]
2025-12-18 13:27:34,383 - Epoch 58    loss=0.0529 [12.2 s]	dev=(HR@5:0.0626,NDCG@5:0.0382) [0.3 s] *
2025-12-18 13:27:46,868 - Epoch 59    loss=0.0500 [12.2 s]	dev=(HR@5:0.0610,NDCG@5:0.0376) [0.3 s]
2025-12-18 13:27:59,275 - Epoch 60    loss=0.0492 [12.1 s]	dev=(HR@5:0.0623,NDCG@5:0.0381) [0.3 s]
2025-12-18 13:28:11,813 - Epoch 61    loss=0.0480 [12.2 s]	dev=(HR@5:0.0647,NDCG@5:0.0392) [0.3 s] *
2025-12-18 13:28:24,244 - Epoch 62    loss=0.0470 [12.2 s]	dev=(HR@5:0.0626,NDCG@5:0.0384) [0.3 s]
2025-12-18 13:28:36,688 - Epoch 63    loss=0.0470 [12.2 s]	dev=(HR@5:0.0623,NDCG@5:0.0384) [0.3 s]
2025-12-18 13:28:49,136 - Epoch 64    loss=0.0445 [12.2 s]	dev=(HR@5:0.0623,NDCG@5:0.0382) [0.3 s]
2025-12-18 13:29:01,598 - Epoch 65    loss=0.0435 [12.2 s]	dev=(HR@5:0.0623,NDCG@5:0.0380) [0.3 s]
2025-12-18 13:29:14,020 - Epoch 66    loss=0.0425 [12.2 s]	dev=(HR@5:0.0641,NDCG@5:0.0390) [0.3 s]
2025-12-18 13:29:26,496 - Epoch 67    loss=0.0407 [12.2 s]	dev=(HR@5:0.0632,NDCG@5:0.0388) [0.3 s]
2025-12-18 13:29:39,043 - Epoch 68    loss=0.0394 [12.3 s]	dev=(HR@5:0.0632,NDCG@5:0.0387) [0.2 s]
2025-12-18 13:29:51,472 - Epoch 69    loss=0.0389 [12.2 s]	dev=(HR@5:0.0650,NDCG@5:0.0395) [0.2 s] *
2025-12-18 13:30:03,947 - Epoch 70    loss=0.0385 [12.2 s]	dev=(HR@5:0.0644,NDCG@5:0.0392) [0.2 s]
2025-12-18 13:30:16,393 - Epoch 71    loss=0.0378 [12.2 s]	dev=(HR@5:0.0644,NDCG@5:0.0394) [0.2 s]
2025-12-18 13:30:28,829 - Epoch 72    loss=0.0359 [12.2 s]	dev=(HR@5:0.0647,NDCG@5:0.0394) [0.3 s]
2025-12-18 13:30:41,294 - Epoch 73    loss=0.0348 [12.2 s]	dev=(HR@5:0.0647,NDCG@5:0.0394) [0.3 s]
2025-12-18 13:30:53,758 - Epoch 74    loss=0.0342 [12.2 s]	dev=(HR@5:0.0647,NDCG@5:0.0398) [0.3 s] *
2025-12-18 13:31:06,284 - Epoch 75    loss=0.0330 [12.3 s]	dev=(HR@5:0.0666,NDCG@5:0.0405) [0.2 s] *
2025-12-18 13:31:18,726 - Epoch 76    loss=0.0327 [12.2 s]	dev=(HR@5:0.0660,NDCG@5:0.0401) [0.2 s]
2025-12-18 13:31:31,197 - Epoch 77    loss=0.0315 [12.2 s]	dev=(HR@5:0.0666,NDCG@5:0.0404) [0.2 s]
2025-12-18 13:31:43,651 - Epoch 78    loss=0.0308 [12.2 s]	dev=(HR@5:0.0656,NDCG@5:0.0398) [0.2 s]
2025-12-18 13:31:56,114 - Epoch 79    loss=0.0294 [12.2 s]	dev=(HR@5:0.0647,NDCG@5:0.0397) [0.2 s]
2025-12-18 13:32:08,583 - Epoch 80    loss=0.0297 [12.2 s]	dev=(HR@5:0.0653,NDCG@5:0.0403) [0.3 s]
2025-12-18 13:32:21,081 - Epoch 81    loss=0.0293 [12.2 s]	dev=(HR@5:0.0656,NDCG@5:0.0409) [0.3 s] *
2025-12-18 13:32:33,511 - Epoch 82    loss=0.0288 [12.2 s]	dev=(HR@5:0.0669,NDCG@5:0.0414) [0.2 s] *
2025-12-18 13:32:45,937 - Epoch 83    loss=0.0285 [12.2 s]	dev=(HR@5:0.0681,NDCG@5:0.0418) [0.2 s] *
2025-12-18 13:32:58,338 - Epoch 84    loss=0.0267 [12.2 s]	dev=(HR@5:0.0666,NDCG@5:0.0413) [0.2 s]
2025-12-18 13:33:10,735 - Epoch 85    loss=0.0276 [12.2 s]	dev=(HR@5:0.0672,NDCG@5:0.0413) [0.2 s]
2025-12-18 13:33:23,156 - Epoch 86    loss=0.0263 [12.2 s]	dev=(HR@5:0.0672,NDCG@5:0.0416) [0.2 s]
2025-12-18 13:33:35,562 - Epoch 87    loss=0.0260 [12.2 s]	dev=(HR@5:0.0669,NDCG@5:0.0415) [0.2 s]
2025-12-18 13:33:47,964 - Epoch 88    loss=0.0248 [12.2 s]	dev=(HR@5:0.0663,NDCG@5:0.0410) [0.2 s]
2025-12-18 13:34:00,398 - Epoch 89    loss=0.0245 [12.2 s]	dev=(HR@5:0.0650,NDCG@5:0.0405) [0.2 s]
2025-12-18 13:34:12,789 - Epoch 90    loss=0.0243 [12.1 s]	dev=(HR@5:0.0669,NDCG@5:0.0414) [0.2 s]
2025-12-18 13:34:25,244 - Epoch 91    loss=0.0232 [12.2 s]	dev=(HR@5:0.0653,NDCG@5:0.0402) [0.3 s]
2025-12-18 13:34:37,649 - Epoch 92    loss=0.0228 [12.2 s]	dev=(HR@5:0.0666,NDCG@5:0.0408) [0.2 s]
2025-12-18 13:34:37,649 - Early stop at 92 based on dev result.
2025-12-18 13:34:37,650 - 
Best Iter(dev)=   83	 dev=(HR@5:0.0681,NDCG@5:0.0418) [1144.9 s] 
2025-12-18 13:34:37,653 - Load model from /home/neuro/MGDCF_in_ReChorus-master/model/LightGCN/LightGCN__MIND_Large_MINDTOPK__2025__lr=0.001__l2=1e-08__emb_size=64__n_layers=3__batch_size=256.pt
2025-12-18 13:34:37,887 - 
Dev  After Training: (HR@5:0.0681,NDCG@5:0.0418,HR@10:0.1252,NDCG@10:0.0599,HR@20:0.2353,NDCG@20:0.0875,HR@50:0.5233,NDCG@50:0.1438)
2025-12-18 13:34:38,032 - 
Test After Training: (HR@5:0.1098,NDCG@5:0.0710,HR@10:0.1755,NDCG@10:0.0920,HR@20:0.2794,NDCG@20:0.1181,HR@50:0.5637,NDCG@50:0.1738)
2025-12-18 13:34:38,607 - dev Prediction results saved to: /home/neuro/MGDCF_in_ReChorus-master/log/LightGCN/rec-LightGCN-dev.csv
2025-12-18 13:34:38,882 - test Prediction results saved to: /home/neuro/MGDCF_in_ReChorus-master/log/LightGCN/rec-LightGCN-test.csv
2025-12-18 13:34:38,885 - 
--------------------------------------------- END: 2025-12-18 13:34:38 ---------------------------------------------
